,区县,学区,小学名称,数据库id,小学名称-清理,confidence,level,precise,0,lat,lng,note
1451,海淀,温泉苏家坨学区,北京市海淀区翠微小学北校区,18373,北京市海淀区翠微小学北校区,75,教育,1,,39.91601654046336,116.31028763869324,
1458,海淀,西三旗学区,北京石油学院附属实验小学,15613,北京石油学院附属实验小学,80,教育,1,,40.04041068917827,116.38344011574527,
1467,海淀,西三旗学区,北京市第二十中学附属实验学校小学部,12930,北京市第二十中学附属实验学校小学部,80,教育,1,,40.043436242668804,116.34489347148144,
1471,海淀,西三旗学区,枫丹实验小学,11194,枫丹实验小学,80,教育,1,,40.071124201829434,116.36413963918525,
1479,海淀,西三旗学区,清河第四小学,16022,清河第四小学,80,教育,1,,40.070805,116.377744,
1497,海淀,西三旗学区,永泰小学,13130,永泰小学,80,教育,1,,40.03913040610671,116.36453853354355,
1508,海淀,西三旗学区,育鹰小学,16023,育鹰小学,80,教育,1,,40.05639232307444,116.34047513876281,
1516,海淀,学院路学区,北京石油学院附属小学,13057,北京石油学院附属小学,80,教育,1,,40.00121462775179,116.37033657459327,
1524,海淀,学院路学区,第三实验小学,14967,第三实验小学,60,UNKNOWN,0,,39.997365,116.350545,地址来源：http://www.hdsysx.com/
1529,海淀,学院路学区,东升实验小学,11101,东升实验小学,80,教育,1,,40.0211657654568,116.34727937810239,
1531,海淀,学院路学区,清华东路小学,10959,清华东路小学,80,教育,1,,40.00719481150726,116.37484628474499,
1544,海淀,学院路学区,中国农业大学附属实验小学,13161,中国农业大学附属实验小学,80,UNKNOWN,1,,40.00944299655308,116.35963340996737,
1578,海淀,羊坊店学区,翠微小学,17033,翠微小学,75,教育,1,,39.91601654046336,116.31028763869324,
1584,海淀,羊坊店学区,七一小学,12104,七一小学,,,,,39.903455,116.313484,手动查询
1590,海淀,羊坊店学区,羊坊店第四小学,16008,羊坊店第四小学,80,教育,1,,39.90917732271543,116.32581149605875,
1598,海淀,羊坊店学区,羊坊店第五小学,16626,羊坊店第五小学,80,教育,1,,39.90740241458934,116.33504680163388,
1607,海淀,羊坊店学区,羊坊店中心小学,12995,羊坊店中心小学,70,教育,1,,39.90624651998019,116.3337832549849,
1608,海淀,羊坊店学区,育鸿学校小学部,12842,育鸿学校小学部,80,教育,1,,39.9051497371695,116.31929815409416,
1614,海淀,永定路学区,北京教育学院附属海淀实验小学,15322,北京教育学院附属海淀实验小学,80,教育,1,,39.937126,116.251292,
1624,海淀,永定路学区,图强第二小学,12403,图强第二小学,80,教育,1,,39.916123583935935,116.27812199982289,
1627,海淀,永定路学区,五一小学晋元庄分校,16055,五一小学晋元庄分校,80,教育,1,,39.92698182989512,116.21370661553387,
1641,海淀,永定路学区,中国科学院附属玉泉小学,13290,中国科学院附属玉泉小学,75,教育,1,,39.923972,116.26138,地址来源：http://school.ci123.com/firms-index/56393
1657,海淀,中关村学区,双榆树第一小学,13047,双榆树第一小学,80,教育,1,,39.975579555689556,116.3338233786988,
1660,海淀,中关村学区,双榆树中心小学,13124,双榆树中心小学,80,教育,1,,39.974882688511784,116.33035783821086,
1665,海淀,中关村学区,中关村第二小学中关村校区,11119,中关村第二小学中关村校区,80,教育,1,,39.993313,116.324364,地址来源：http://www.zgcerxiao.com/web/index.html
1672,海淀,中关村学区,中关村第二小学华清校区,12882,中关村第二小学华清校区,80,教育,1,,39.996971,116.340917,
1673,海淀,中关村学区,中关村第四小学,11922,中关村第四小学,80,教育,1,,39.97519443596643,116.34587887579535,
1687,海淀,中关村学区,中关村第一小学,9792,中关村第一小学,80,教育,1,,39.989388,116.32879,
1697,海淀,中关村学区,中国人民大学附属中学实验小学,14822,中国人民大学附属中学实验小学,70,教育,1,,39.98044648296058,116.32433053162889,
1708,海淀,紫竹院学区,北京理工大学附属中学小学部,11920,北京理工大学附属中学小学部,10,城市,0,,39.92998577808024,116.39564503787867,
1738,海淀,紫竹院学区,花园村第二小学,11362,花园村第二小学,80,教育,1,,39.937281065723155,116.32517350151944,
1756,海淀,紫竹院学区,实验小学北洼路校区,10061,实验小学北洼路校区,80,教育,1,,39.93387312130517,116.307963,
1767,海淀,紫竹院学区,实验小学苏州街分校 ,9644,实验小学苏州街分校 ,80,教育,1,,39.947928,116.311392,
1778,海淀,紫竹院学区,首都师范大学实验小学,15741,首都师范大学实验小学,80,教育,1,,39.93387312130517,116.31595793980114,
1789,海淀,紫竹院学区,北京外国语大学附属小学,11423,北京外国语大学附属小学,75,UNKNOWN,1,,39.957367,116.319073,
1791,海淀,西三旗学区,首都师范大学附属育新学校小学部,16019,首都师范大学附属育新学校小学部,50,UNKNOWN,0,,39.936755553495836,116.31304982123808,
1808,海淀,紫竹院学区,二里沟中心小学,11413,二里沟中心小学,80,教育,1,,39.93984565083911,116.336033512084,
1812,海淀,青龙桥学区,中关村第一小学天秀部,12016,中关村第一小学天秀部,80,教育,1,,39.989388132121036,116.32879038133328,
