,区县,学区,小学名称,数据库id,小学名称-清理,confidence,level,precise,0,lat,lng,note
552,西城,广安门内、牛街学区,宣武回民小学,9660,宣武回民小学,80,教育,1,,39.885777775365334,116.3562558503276,
576,西城,广安门内、牛街学区,北京小学走读部,13535,北京小学走读部,80,教育,1,,39.890241640482394,116.34716242626973,
602,西城,广安门外学区,实验二小广外分校,13748,实验二小广外分校,80,教育,1,,39.88149646693813,116.3335030326647,
615,西城,广安门外学区,椿树馆小学,9688,椿树馆小学,80,教育,1,,39.88538561381074,116.33954881807651,
627,西城,广安门外学区,红莲小学,15411,红莲小学,80,教育,1,,39.88081812979172,116.32832411820527,
635,西城,广安门外学区,北京市西城区青年湖小学,,北京市西城区青年湖小学,75,教育,1,,39.87641146063476,116.34199492667766,
645,西城,广安门外学区,北京市西城区三义里小学,12183,北京市西城区三义里小学,80,教育,1,,39.88598808339114,116.32321502160306,
649,西城,广安门外学区,北京小学广外分校,16912,北京小学广外分校,80,教育,1,,39.8951801644865,116.35434800632275,
651,西城,广安门外学区,北京小学红山分校,15080,北京小学红山分校,80,教育,1,,39.892003329129544,116.32592504527852,
670,西城,广安门外学区,北京小学天宁寺分校,13732,北京小学天宁寺分校,80,教育,1,,39.8921451554205,116.3396277241947,
672,西城,广安门外学区,北京第一实验小学广外分校,9954,北京第一实验小学广外分校,40,UNKNOWN,0,,39.88176245708474,116.33256550084688,
678,西城,金融街学区,北京第二实验小学,,北京第二实验小学,80,教育,1,,39.90332645414136,116.36130306068708,
680,西城,金融街学区,奋斗小学,13918,奋斗小学,80,教育,1,,39.90005520170028,116.35547120012609,
691,西城,金融街学区,宏庙小学,16576,宏庙小学,80,教育,1,,39.914146721936355,116.36448159897274,
693,西城,金融街学区,华嘉小学,12161,华嘉小学,80,教育,1,,39.92664646426721,116.3555777814804,
704,西城,金融街学区,西单小学,15757,西单小学,80,教育,1,,39.907968166862744,116.36335811681667,
716,西城,什刹海学区,厂桥小学,15204,厂桥小学,80,教育,1,,39.93171880047448,116.37163661441356,
721,西城,什刹海学区,第十三中学附属小学（柳荫街小学）,9056,第十三中学附属小学,75,教育,1,,39.93565463383632,116.37750390154756,
727,西城,什刹海学区,雷锋小学,14071,雷锋小学,,,,,39.94668920991461,116.38552276406189,手动查询
735,西城,什刹海学区,西什库小学,,西什库小学,80,教育,1,,39.922687706177584,116.37443469593873,
740,西城,什刹海学区,新街口东街小学,15058,新街口东街小学,80,教育,1,,39.94122793285677,116.37207483859075,
747,西城,陶然亭、白纸坊学区,北京市第八中学附属小学,18499,北京市第八中学附属小学,75,教育,1,,39.90975865354552,116.3558244280998,
760,西城,陶然亭、白纸坊学区,白纸坊小学,15797,白纸坊小学,80,教育,1,,39.87970569426547,116.35106625498872,
765,西城,陶然亭、白纸坊学区,半步桥小学,10393,半步桥小学,80,教育,1,,39.87723918557418,116.3633052793244,
775,西城,陶然亭、白纸坊学区,实验小学,15518,实验小学,70,UNKNOWN,1,,39.87221969045221,116.34742431997566,
790,西城,陶然亭、白纸坊学区,陶然亭小学,,陶然亭小学,80,教育,1,,39.876259749633476,116.37269273693242,
813,西城,陶然亭、白纸坊学区,宣武师范学校附属第一小学,,宣武师范学校附属第一小学,25,区县,0,,39.88428233230648,116.3565904807129,
817,西城,西长安街学区,北京实验二小长安校区,11882,北京第二实验小学长安校区,80,教育,1,,39.9030940679506,116.3798522197913,名字来源：http://www.bjsyex.cn/cms/desyxx/xxdt/131.jhtml 坐标地址反查
823,西城,西长安街学区,力学小学,,力学小学,80,教育,1,,39.90994531210749,116.37181088510657,
830,西城,西长安街学区,顺城街第一小学,15792,顺城街第一小学,80,教育,1,,39.899214062991746,116.37149219327385,
838,西城,西长安街学区,自忠小学,15244,自忠小学,70,教育,1,,39.91620904463958,116.37552148103633,
859,西城,新街口学区,第二实验小学玉桃园分校（原玉桃园小学）,18496,第二实验小学玉桃园分校,80,UNKNOWN,1,,39.94097957589511,116.35650041819032,
862,西城,新街口学区,北京师范大学京师附小,18223,北京师范大学京师附小,50,UNKNOWN,0,,39.959908673213654,116.3610083619334,
879,西城,新街口学区,黄城根小学官园校区（原官园小学）,10772,黄城根小学官园校区,60,教育,0,,39.93015158854642,116.35833947631052,
889,西城,新街口学区,四根柏小学,14825,四根柏小学,80,教育,1,,39.934578359012484,116.36238920737517,
893,西城,新街口学区,中华路小学,13653,中华路小学,,,,,39.93665546910372,116.3544546458919,手动查询
898,西城,月坛学区,北京第二实验小学白云路分校（原白云路小学）,11207,北京第二实验小学白云路分校,60,教育,0,,39.9026810278071,116.36105544410287,
913,西城,月坛学区,北京市西城区复兴门外第一小学,9156,北京市西城区复兴门外第一小学,75,教育,1,,39.90919559120455,116.34172212161108,
918,西城,月坛学区,三里河第三小学,9666,三里河第三小学,80,教育,1,,39.91002232488821,116.33148228055813,
930,西城,月坛学区,育民小学,13645,育民小学,,,,,39.904935877554145,116.3436675632488,手动查询
944,西城,月坛学区,中古友谊小学,11060,中古友谊小学,80,教育,1,,39.91465569199733,116.33372775468656,
954,西城,展览路学区,北京建筑大学附属小学（原文兴街小学）,8498,北京建筑大学附属小学,10,城市,0,,39.933969328657774,116.33057680128128,
957,西城,展览路学区,奋斗小学北校区,13805,奋斗小学北校区,80,教育,1,,39.897350639594194,116.3614954485824,
964,西城,展览路学区,阜成门外第一小学,15094,阜成门外第一小学,75,教育,1,,39.92070705937912,116.3440229823611,
982,西城,展览路学区,进步小学,8394,进步小学,80,教育,1,,39.935531628182034,116.34066838052382,
997,西城,展览路学区,展览路第一小学,8494,展览路第一小学,80,教育,1,,39.928896047760055,116.33328716649345,
1000,西城,展览路学区,北京市西城外国语学校附属小学,15665,北京市西城外国语学校附属小学,75,教育,1,,39.93531959308085,116.34399441111293,
1012,西城,展览路学区,北礼士路第一小学,9537,北礼士路第一小学,80,教育,1,,39.92871060941082,116.3470179606436,
1018,西城,金融街学区,北京第二实验小学涭水河分校（原涭水河小学）,14347,北京第二实验小学涭水河分校,80,教育,1,,39.903160061082836,116.38005430920303,
1023,西城,什刹海学区,黄城根小学,,黄城根小学,80,教育,1,,39.929569867739026,116.37059816723398,
1027,西城,什刹海学区,鸦儿胡同小学,,鸦儿胡同小学,75,教育,1,,39.94094341529061,116.38487690990183,
1031,西城,西长安街学区,北京第一实验小学前门分校,,北京第一实验小学前门分校,80,教育,1,,39.879574924479805,116.31734433553999,
1034,西城,什刹海学区,什刹海小学,,什刹海小学,75,教育,1,,39.92781872950922,116.38729473976939,
1036,西城,西长安街学区,西四北四条小学,13717,西四北四条小学,75,教育,1,,39.927445807124556,116.36233131749616,
1058,海淀,八里庄学区,八里庄小学,11270,八里庄小学,,,,,39.925860488871976,116.29385426183491,手动查询
1065,海淀,八里庄学区,定慧里小学,,定慧里小学,80,教育,1,,39.920954985613164,116.27524364870719,
1079,海淀,八里庄学区,六一小学,,六一小学,,,,,39.92704061156939,116.28071995089073,手动查询
1096,海淀,八里庄学区,北京市海淀区实验小学,11120,北京市海淀区实验小学,80,教育,1,,39.926589108381954,116.30338696203388,
1099,海淀,八里庄学区,万泉小学曙光校区,11898,万泉小学曙光校区,80,教育,1,,39.945010227943975,116.28470714818754,
1121,海淀,八里庄学区,中国人民大学附属小学,10851,中国人民大学附属小学,75,教育,1,,39.96433392367469,116.2720532903785,
1137,海淀,八里庄学区,中国人民大学附属小学亮甲店分校（原亮甲店小学）,13106,中国人民大学附属小学亮甲店分校,50,UNKNOWN,0,,39.96892130659656,116.3090570801746,
1155,海淀,北太平庄学区,北方交通大学附属小学,16136,北方交通大学附属小学,80,教育,1,,39.94399827868786,116.34230796581723,
1166,海淀,北太平庄学区,北京市海淀区星火小学,9888,北京市海淀区星火小学,75,教育,1,,39.95207966378224,116.36057004064996,
1179,海淀,北太平庄学区,学院路小学,18410,学院路小学,,,,,39.96978236616414,116.34516711196932,手动查询
1216,海淀,北太平庄学区,北京邮电大学附属小学（原今典小学）,12833,北京邮电大学附属小学,40,UNKNOWN,0,,39.96222923754391,116.35130918042331,
1253,海淀,北太平庄学区,中国农业科学院附属小学,15329,中国农业科学院附属小学,80,教育,1,,39.95629772846433,116.32189970527763,
1276,海淀,海淀学区,北京市八一学校小学部,14146,北京市八一学校小学部,75,UNKNOWN,1,,39.97654998434649,116.30207818080059,
1279,海淀,海淀学区,万泉河小学,11301,万泉河小学,80,教育,1,,39.98542367180731,116.29526386809172,
1295,海淀,海淀学区,万泉小学,12516,万泉小学,80,教育,1,,39.969139276895056,116.29581978570977,
1298,海淀,海淀学区,西颐小学,11429,西颐小学,80,教育,1,,39.963455408313266,116.30677283314351,
1309,海淀,海淀学区,中关村第三小学万柳校区,13748,中关村第三小学万柳校区,30,地产小区,0,,39.98369472535286,116.31191769849391,
1314,海淀,花园路学区,北京市海淀区九一小学,16002,北京市海淀区九一小学,75,教育,1,,39.97766409028009,116.35613456649328,
1318,海淀,花园路学区,民族小学,,民族小学,80,UNKNOWN,1,,39.970327408782516,116.3704424348805,
1321,海淀,花园路学区,前进小学,11923,前进小学,,,,,39.97323863421936,116.35379138695203,手动查询
1334,海淀,花园路学区,北京医科大学附属小学,11127,北京医科大学附属小学,80,教育,1,,39.97613681344969,116.37123156384284,
1335,海淀,青龙桥学区,北京大学附属小学肖家河分校,9813,北京大学附属小学肖家河分校,30,UNKNOWN,0,,40.01493117205207,116.27527207181755,
1346,海淀,青龙桥学区,东北旺中心小学,10561,东北旺中心小学,80,教育,1,,40.02911493091269,116.27155430908188,
1347,海淀,青龙桥学区,培星小学,12421,培星小学,80,教育,1,,40.00749010820409,116.24432813891414,
1348,海淀,青龙桥学区,西苑小学,15705,西苑小学,,,,,39.991863298423446,116.28842000925317,手动查询
1354,海淀,青龙桥学区,中关村第二小学百旺校区,11107,中关村第二小学百旺校区,80,教育,1,,40.04731267457349,116.26244904959836,
1359,海淀,青龙桥学区,中关村第一小学天秀校区,11089,中关村第一小学天秀校区,80,购物,0,,40.018363194261696,116.27298273550166,
1362,海淀,清河学区,北外附属外国语学校小学部,18721,北外附属外国语学校小学部,80,教育,1,,40.05684977723376,116.31403309042814,
1367,海淀,清河学区,第二实验小学本部,14995,第二实验小学本部,70,UNKNOWN,1,,36.866571943840945,119.39060404313489,
1373,海淀,清河学区,第二实验小学当代校区,16107,第二实验小学当代校区,80,教育,1,,40.04260960985179,116.3118120556648,
1382,海淀,清河学区,第二实验小学清宁校区,10432,第二实验小学清宁校区,70,UNKNOWN,1,,40.04031975039771,116.3291318185279,
